iter	RMSE	R2
0	510.2135714	-3.799458899
1	465.038527	-2.987182667
2	424.863942	-2.328035979
3	389.3493217	-1.794905375
4	357.9317047	-1.362047363
5	330.2482974	-1.010802603
6	305.7533726	-0.7235773429
7	284.3614482	-0.4908354079
8	265.7345687	-0.3019202222
9	249.6402285	-0.1489930633
10	235.7156479	-0.02438943796
11	223.756319	0.07692097712
12	213.5348486	0.1593295405
13	204.9151102	0.2258301887
14	197.6464264	0.279778309
15	191.521324	0.3237262431
16	186.3512455	0.3597451696
17	182.0723479	0.3888099868
18	178.4143278	0.413122148
19	175.3752697	0.4329452824
20	172.9520817	0.4485071944
21	170.9561991	0.461162303
22	169.2577787	0.471815639
23	167.8600069	0.4805033665
24	166.7047089	0.4876296392
25	165.7756469	0.4933247074
26	164.9099816	0.4986025156
27	164.1938759	0.5029476018
28	163.6967299	0.5059529939
29	163.2061534	0.5089097385
30	162.8472032	0.5110675382
31	162.5273206	0.5129864828
32	162.2886896	0.5144155492
33	162.0406421	0.5158987826
34	161.8443412	0.5170709813
35	161.6845197	0.5180242968
36	161.5265066	0.5189658987
37	161.4106023	0.5196559891
38	161.2788503	0.5204398342
39	161.19829	0.5209188039
40	161.1288902	0.5213312276
41	161.0347544	0.5218903665
42	160.9899643	0.5221562916
43	160.9229894	0.522553793
44	160.8620833	0.522915132
45	160.8059502	0.5232480333
46	160.7669839	0.523479057
47	160.7384335	0.5236482916
48	160.7141426	0.5237922536
49	160.6810328	0.5239884472
50	160.6364107	0.5242527928
51	160.6056549	0.5244349506
52	160.5838004	0.5245643677
53	160.5551688	0.5247338897
54	160.513696	0.5249793888
55	160.493095	0.5251013135
56	160.468721	0.5252455475
57	160.4580781	0.5253085207
58	160.4399601	0.5254157133
59	160.4257364	0.5254998575
60	160.4123851	0.5255788342
61	160.4036206	0.5256306747
62	160.3803252	0.5257684498
63	160.3635461	0.5258676738
64	160.3453272	0.5259754
65	160.3241173	0.5261007963
66	160.3055224	0.5262107184
67	160.2946072	0.5262752367
68	160.2839983	0.5263379408
69	160.2606148	0.5264761339
70	160.2405908	0.5265944566
71	160.2324423	0.5266426021
72	160.2230428	0.5266981366
73	160.2042544	0.5268091326
74	160.1968541	0.5268528474
75	160.1814262	0.5269439767
76	160.1727831	0.5269950261
77	160.1655845	0.5270375416
