iter	Passed	Remaining
0	61	123548
1	120	120842
2	172	114929
3	227	113551
4	282	112800
5	338	112659
6	391	111373
7	447	111411
8	525	116212
9	584	116348
10	757	137023
11	1070	177408
12	1131	173020
13	1196	169682
14	1255	166154
15	1316	163233
16	1380	160978
17	1436	158152
18	1495	155897
19	1557	154239
20	1620	152686
21	1688	151819
22	1747	150217
23	1817	149608
24	1888	149188
25	1951	148128
26	2015	147251
27	2098	147820
28	2386	162216
29	2506	164590
30	2577	163716
31	2669	164164
32	2760	164550
33	2826	163435
34	2894	162497
35	2960	161501
36	3027	160615
37	3092	159659
38	3160	158919
39	3211	157386
40	3270	156250
41	3327	155118
42	3385	154076
43	3446	153231
44	3740	162517
45	3962	168319
46	4023	167201
47	4081	166001
48	4133	164586
49	4193	163558
50	4254	162574
51	4315	161670
52	4369	160532
53	4424	159462
54	4485	158621
55	4538	157551
56	4601	156858
57	4654	155855
58	4709	154920
59	4775	154418
60	4831	153575
61	4885	152714
62	4940	151895
63	5092	154044
64	5438	161900
65	5498	161118
66	5564	160533
67	5631	160002
68	5695	159380
69	5752	158593
70	5814	157967
71	5866	157100
72	5915	156156
73	5970	155382
74	6025	154650
75	6084	154026
76	6135	153227
77	6189	152504
78	6246	151903
79	6300	151222
80	6357	150611
81	6407	149867
82	6479	149651
83	6796	155033
84	6854	154432
85	6909	153766
86	6969	153239
87	7028	152707
88	7080	152038
89	7133	151390
90	7182	150672
91	7233	150022
92	7291	149509
93	7344	148916
94	7396	148310
95	7452	147804
96	7506	147265
97	7558	146701
98	7612	146184
99	7662	145592
100	7715	145059
101	7769	144574
102	7846	144507
103	8201	149517
104	8322	150195
105	8383	149801
106	8456	149611
107	8534	149520
108	8593	149089
109	8645	148539
110	8701	148084
111	8751	147530
112	8805	147043
113	8862	146615
114	8920	146217
115	8973	145741
116	9028	145309
117	9082	144856
118	9138	144446
119	9193	144032
120	9250	143645
121	9320	143476
122	9684	147780
123	9795	148196
124	9871	148075
125	9946	147940
126	10012	147658
127	10065	147214
128	10124	146845
129	10176	146381
130	10231	145979
131	10286	145564
132	10341	145165
133	10400	144835
134	10451	144384
135	10505	143991
136	10562	143634
137	10614	143224
138	10667	142825
139	10721	142446
140	10833	142828
141	11115	145442
142	11188	145287
143	11255	145069
144	11327	144917
145	11394	144698
146	11453	144371
147	11507	143997
148	11557	143579
149	11614	143246
150	11671	142913
151	11725	142557
152	11783	142246
153	11843	141962
154	11898	141625
155	11948	141241
156	12001	140886
157	12061	140615
158	12115	140280
159	12410	142724
160	12625	144209
161	12690	143984
162	12749	143685
163	12812	143441
164	12859	143013
165	12913	142675
166	12970	142369
167	13019	141977
168	13076	141672
169	13126	141306
170	13187	141051
171	13245	140774
172	13303	140490
173	13365	140264
174	13419	139941
175	13478	139689
176	13528	139339
177	13582	139026
178	13702	139399
179	14070	142266
180	14132	142029
181	14189	141738
182	14259	141585
183	14322	141359
184	14374	141021
185	14429	140722
186	14484	140433
187	14534	140086
188	14589	139799
189	14644	139508
190	14695	139187
191	14751	138906
192	14804	138606
193	14859	138331
194	14910	138016
195	14961	137703
196	15018	137452
197	15081	137253
198	15297	138449
199	15474	139270
200	15540	139091
201	15615	138991
202	15677	138783
203	15739	138568
204	15795	138303
205	15849	138025
206	15903	137750
207	15954	137458
208	16008	137185
209	16070	136981
210	16125	136722
211	16181	136471
212	16238	136231
213	16293	135984
214	16356	135793
215	16413	135562
216	16488	135479
217	16904	138183
218	16973	138037
219	17044	137903
220	17120	137813
221	17185	137636
222	17237	137356
223	17293	137111
224	17345	136834
225	17400	136589
226	17453	136322
227	17512	136103
228	17571	135893
229	17626	135645
230	17686	135445
231	17740	135197
232	17796	134960
233	17850	134716
234	17911	134526
235	18083	135169
236	18399	136871
237	18460	136671
238	18538	136596
239	18611	136483
240	18670	136273
241	18732	136079
242	18785	135830
243	18844	135620
244	18893	135342
245	18949	135114
246	19008	134908
247	19059	134644
248	19111	134396
249	19166	134164
250	19221	133939
251	19279	133735
252	19337	133525
253	19388	133275
254	19596	134100
255	19800	134889
256	19868	134748
257	19935	134600
258	20012	134523
259	20072	134328
260	20132	134138
261	20186	133912
262	20254	133772
263	20322	133632
264	20382	133450
265	20443	133269
266	20497	133044
267	20550	132813
268	20608	132615
269	20675	132473
270	20729	132258
271	20899	132770
272	21172	133939
273	21292	134125
274	21359	133981
275	21434	133888
276	21512	133812
277	21567	133592
278	21633	133445
279	21706	133336
280	21764	133143
281	21830	132998
282	21894	132836
283	21961	132698
284	22033	132586
285	22096	132423
286	22147	132192
287	22213	132044
288	22293	131988
289	22606	133299
290	22789	133836
291	22849	133653
292	22903	133431
293	22979	133341
294	23044	133190
295	23104	133004
296	23163	132818
297	23214	132586
298	23270	132385
299	23333	132224
300	23390	132025
301	23448	131838
302	23506	131649
303	23558	131431
304	23612	131223
305	23671	131046
306	23725	130839
307	23808	130793
308	24089	131829
309	24186	131854
310	24244	131668
311	24312	131537
312	24361	131301
313	24422	131136
314	24485	130979
315	24546	130812
316	24601	130610
317	24652	130395
318	24703	130179
319	24762	130003
320	24823	129839
321	24878	129643
322	24935	129462
323	24986	129253
324	25039	129051
325	25094	128862
326	25148	128667
327	25412	129540
328	25644	130251
329	25703	130076
330	25753	129857
331	25828	129762
332	25895	129634
333	25950	129443
334	26003	129240
335	26050	129012
336	26101	128804
337	26161	128639
338	26220	128470
339	26274	128283
340	26327	128084
341	26386	127920
342	26439	127728
343	26487	127509
344	26542	127328
345	26596	127138
346	26672	127060
347	27038	128357
348	27142	128401
349	27232	128383
350	27307	128290
351	27368	128136
352	27432	127991
353	27492	127832
354	27541	127620
355	27590	127412
356	27653	127265
357	27702	127059
358	27755	126870
359	27805	126668
360	27864	126510
361	27921	126341
362	27982	126190
363	28039	126023
364	28091	125834
365	28346	126553
366	28608	127295
367	28671	127150
368	28731	126994
369	28793	126848
370	28869	126762
371	28925	126588
372	28979	126408
373	29031	126216
374	29088	126049
375	29141	125865
376	29195	125687
377	29257	125545
378	29315	125384
379	29373	125222
380	29429	125057
381	29494	124929
382	29562	124810
383	29650	124778
384	29893	125396
385	30100	125860
386	30173	125762
387	30240	125638
388	30318	125558
389	30403	125512
390	30480	125428
391	30533	125247
392	30590	125085
393	30647	124924
394	30705	124763
395	30781	124682
396	30848	124559
397	30906	124401
398	30969	124265
399	31038	124154
400	31213	124466
401	31502	125225
402	31634	125359
403	31712	125282
404	31775	125140
405	31850	125047
406	31911	124899
407	31969	124745
408	32034	124613
409	32096	124470
410	32155	124318
411	32213	124160
412	32282	124048
413	32346	123916
414	32403	123757
415	32461	123603
416	32524	123467
417	32606	123405
418	32921	124222
419	33122	124604
420	33174	124424
421	33230	124259
422	33283	124084
423	33348	123955
424	33404	123791
425	33467	123657
426	33522	123490
427	33571	123304
428	33623	123130
429	33676	122957
430	33742	122834
431	33804	122696
432	33855	122519
433	33915	122377
434	33967	122203
435	34026	122057
436	34087	121918
437	34211	122004
438	34594	123011
439	34659	122882
440	34709	122703
441	34767	122550
442	34845	122471
443	34901	122311
444	34955	122147
445	35010	121988
446	35067	121835
447	35131	121703
448	35203	121604
449	35272	121495
450	35340	121380
451	35405	121257
452	35470	121132
453	35525	120974
454	35586	120837
455	35742	121022
456	36013	121593
457	36075	121458
458	36137	121323
459	36203	121203
460	36267	121073
461	36331	120947
462	36401	120840
463	36462	120705
464	36527	120580
465	36588	120444
466	36645	120293
467	36705	120154
468	36768	120026
469	36829	119893
470	36883	119733
471	36941	119590
472	37002	119455
473	37223	119839
474	37497	120386
475	37563	120265
476	37623	120127
477	37676	119966
478	37754	119884
479	37813	119744
480	37870	119595
481	37924	119437
482	37982	119294
483	38041	119154
484	38096	119002
485	38151	118851
486	38204	118691
487	38256	118533
488	38319	118407
489	38369	118240
490	38425	118093
491	38483	117953
492	38594	117976
493	38982	118841
494	39041	118701
495	39105	118576
496	39178	118482
497	39243	118362
498	39300	118216
499	39351	118053
500	39399	117883
501	39452	117727
502	39499	117557
503	39557	117417
504	39615	117276
505	39668	117124
506	39721	116970
507	39780	116836
508	39839	116699
509	39894	116555
510	39951	116414
511	40015	116295
512	40239	116638
513	40411	116831
514	40469	116693
515	40527	116556
516	40593	116440
517	40671	116361
518	40726	116217
519	40784	116080
520	40842	115942
521	40891	115781
522	40939	115616
523	40998	115485
524	41047	115322
525	41109	115199
526	41161	115049
527	41210	114888
528	41258	114727
529	41307	114570
530	41368	114446
531	41563	114689
532	41868	115236
533	41932	115117
534	41996	114998
535	42055	114867
536	42120	114753
537	42175	114610
538	42224	114453
539	42282	114319
540	42344	114196
541	42402	114063
542	42470	113957
543	42526	113820
544	42588	113698
545	42646	113568
546	42707	113443
547	42763	113307
548	42820	113173
549	42882	113054
550	43026	113150
551	43383	113803
552	43434	113652
553	43500	113540
554	43565	113427
555	43640	113339
556	43698	113207
557	43757	113079
558	43819	112958
559	43883	112844
560	43939	112706
561	43996	112574
562	44063	112466
563	44110	112310
564	44166	112175
565	44226	112051
566	44283	111919
567	44338	111783
568	44400	111664
569	44606	111907
570	44797	112110
571	44849	111967
572	44911	111848
573	44963	111702
574	45012	111552
575	45064	111409
576	45112	111256
577	45172	111133
578	45225	110994
579	45283	110865
580	45340	110737
581	45407	110632
582	45462	110497
583	45516	110361
584	45564	110212
585	45618	110074
586	45674	109944
587	45731	109818
588	45783	109677
589	46055	110065
590	46309	110405
591	46377	110302
592	46460	110236
593	46535	110149
594	46598	110035
595	46658	109914
596	46711	109776
597	46772	109657
598	46840	109555
599	46907	109451
600	46959	109311
601	47027	109210
602	47083	109081
603	47145	108965
604	47204	108843
605	47259	108712
606	47323	108602
607	47600	108979
608	47819	109223
609	47877	109098
610	47956	109019
611	48036	108946
612	48086	108802
613	48140	108669
614	48201	108552
615	48252	108412
616	48310	108287
617	48361	108147
618	48418	108022
619	48473	107892
620	48528	107762
621	48582	107630
622	48641	107509
623	48704	107398
624	48753	107258
625	48807	107125
626	48984	107265
627	49380	107883
628	49449	107782
629	49513	107672
630	49594	107598
631	49652	107474
632	49722	107377
633	49795	107287
634	49862	107184
635	49918	107057
636	49978	106940
637	50051	106850
638	50121	106752
639	50194	106662
640	50263	106565
641	50334	106471
642	50420	106407
643	50706	106766
644	50842	106808
645	50911	106709
646	50983	106615
647	51046	106505
648	51117	106408
649	51179	106296
650	51242	106184
651	51301	106065
652	51365	105955
653	51432	105853
654	51500	105753
655	51570	105655
656	51635	105550
657	51708	105459
658	51774	105356
659	52015	105607
660	52313	105971
661	52374	105857
662	52435	105741
663	52496	105625
664	52573	105542
