iter	RMSE	R2
0	510.3048948	-3.803988663
1	465.1607931	-2.991615591
2	424.9963674	-2.332060987
3	389.4474904	-1.79795242
4	358.0393308	-1.36485207
5	330.2222461	-1.011662683
6	305.7822443	-0.7249123568
7	284.3026306	-0.4910913883
8	265.7568164	-0.3029007398
9	249.7019553	-0.1502345058
10	235.8389784	-0.02606216903
11	223.8552859	0.07556322601
12	213.6555555	0.1578860038
13	204.9562716	0.225065618
14	197.6354836	0.2794363544
15	191.4668118	0.3237153704
16	186.2623755	0.3599811275
17	181.9499612	0.3892739562
18	178.3531615	0.4131810499
19	175.3212902	0.4329624472
20	172.8227696	0.449009099
21	170.813679	0.461745339
22	169.1172942	0.472383281
23	167.7514774	0.4808710926
24	166.6173206	0.4878669562
25	165.603	0.4940834278
26	164.7726013	0.499144437
27	164.089462	0.5032888739
28	163.574456	0.5064019052
29	163.1142764	0.5091752505
30	162.7564288	0.5113264763
31	162.3945608	0.5134970662
32	162.133857	0.5150578492
33	161.899612	0.5164580901
34	161.7107893	0.5175853373
35	161.5231018	0.5187045037
36	161.3837809	0.5195344238
37	161.262177	0.5202582196
38	161.1524476	0.5209108694
39	161.0532229	0.521500657
40	160.9821345	0.5219229802
41	160.9091835	0.5223561747
42	160.8542793	0.522682075
43	160.8018065	0.5229934388
44	160.7382495	0.5233704388
45	160.6814931	0.5237069733
46	160.6493245	0.5238976632
47	160.6223519	0.5240575225
48	160.5981731	0.5242008007
49	160.5634563	0.524406487
50	160.5395327	0.5245482013
51	160.5224783	0.5246492123
52	160.4921209	0.5248289881
53	160.4644848	0.5249926191
54	160.4477096	0.52509193
55	160.4247474	0.5252278514
56	160.3952965	0.5254021537
57	160.3777112	0.5255062154
58	160.3619842	0.5255992703
59	160.3322589	0.5257751276
60	160.3079361	0.5259189987
61	160.2994918	0.5259689424
62	160.2900726	0.5260246491
63	160.2796273	0.5260864202
64	160.243497	0.5263000559
65	160.2190171	0.5264447761
66	160.1997463	0.5265586852
67	160.1709582	0.5267288261
68	160.1642606	0.5267684052
69	160.1406479	0.5269079304
70	160.1239585	0.5270065337
71	160.1114998	0.5270801349
72	160.1024978	0.5271333119
73	160.0758213	0.5272908778
74	160.0669802	0.5273430928
75	160.060688	0.5273802517
76	160.0495594	0.5274459696
77	160.0428179	0.5274857783
78	160.0293918	0.5275650537
79	160.0152593	0.5276484932
80	160.0064257	0.5277006442
81	159.9877106	0.5278111223
82	159.9804696	0.5278538636
83	159.9718108	0.5279049711
84	159.9632535	0.5279554771
85	159.9423652	0.5280787497
86	159.9285135	0.5281604872
87	159.9187466	0.5282181165
88	159.9132908	0.5282503063
89	159.9082865	0.5282798317
90	159.8919439	0.5283762458
91	159.8832673	0.5284274301
92	159.8645237	0.528537992
93	159.8533299	0.5286040134
94	159.8478774	0.5286361711
95	159.8305193	0.5287385374
96	159.8186992	0.528808238
97	159.8112211	0.5288523322
98	159.8062389	0.5288817087
99	159.8001531	0.5289175903
100	159.7954159	0.5289455202
101	159.7743754	0.529069561
102	159.7666416	0.5291151501
103	159.7620413	0.529142267
104	159.7559307	0.5291782848
105	159.7497715	0.5292145879
106	159.7438317	0.5292495971
107	159.7395987	0.5292745454
108	159.7321378	0.529318516
109	159.7240206	0.5293663528
110	159.7168341	0.5294087021
111	159.7029448	0.5294905459
112	159.6941866	0.5295421507
113	159.6824854	0.5296110915
114	159.6775178	0.5296403578
115	159.6693857	0.5296882659
116	159.6537374	0.5297804462
117	159.6486383	0.5298104819
118	159.6302427	0.5299188314
119	159.6190391	0.5299848143
120	159.6168222	0.5299978701
121	159.608358	0.5300477156
122	159.60215	0.5300842724
123	159.590488	0.5301529429
124	159.5805052	0.530211721
125	159.5748698	0.5302449005
126	159.5696478	0.5302756451
127	159.5647845	0.5303042768
128	159.5554872	0.5303590104
129	159.5480835	0.530402594
130	159.5434806	0.5304296887
131	159.5398168	0.5304512556
132	159.5337522	0.5304869529
