iter	RMSE	R2
0	510.2463652	-3.799795629
1	465.0751494	-2.987577852
2	424.9618099	-2.329374988
3	389.4560094	-1.796274006
4	357.969887	-1.362413392
5	330.2882859	-1.011172161
6	305.7911027	-0.723902092
7	284.4077299	-0.4912336618
8	265.791358	-0.3024006936
9	249.7115294	-0.1495823723
10	235.7737219	-0.02483442477
11	223.8122905	0.07651303371
12	213.6193642	0.1587130682
13	205.0426349	0.2249115689
14	197.7665847	0.2789444338
15	191.6487645	0.3228654805
16	186.4473999	0.359121696
17	182.1568271	0.3882784044
18	178.5136042	0.4125031481
19	175.5343874	0.4319490083
20	173.0317566	0.4480311874
21	171.0283676	0.4607387578
22	169.3785857	0.4710922737
23	167.9366555	0.4800591899
24	166.8111271	0.487005227
25	165.8257269	0.4930481336
26	164.9861703	0.4981684171
27	164.302658	0.5023178261
28	163.7558877	0.5056247117
29	163.2818929	0.5084825292
30	162.8993136	0.5107831403
31	162.5778434	0.5127121043
32	162.3344341	0.5141701338
33	162.1046137	0.5155447599
34	161.8925134	0.5168116685
35	161.7269994	0.517799158
36	161.5871552	0.5186327089
37	161.4849361	0.5192415364
38	161.3860219	0.5198303132
39	161.3071262	0.5202996726
40	161.2326824	0.5207423373
41	161.1353824	0.5213206033
42	161.0645209	0.5217415229
43	161.0129439	0.5220477749
44	160.9528754	0.5224043244
45	160.8970663	0.5227354714
46	160.868155	0.522906974
47	160.8356456	0.5230997828
48	160.8124582	0.523237281
49	160.788446	0.5233796489
50	160.7434642	0.5236462877
51	160.7239367	0.5237620178
52	160.7040622	0.52387979
53	160.6672142	0.5240981052
54	160.6278831	0.5243310772
55	160.5962776	0.5245182462
56	160.5717948	0.5246632085
57	160.5496318	0.5247944166
58	160.5377003	0.5248650458
59	160.5191188	0.5249750283
60	160.5060999	0.5250520792
61	160.4953677	0.5251155914
62	160.4868621	0.5251659242
63	160.4548051	0.5253556
64	160.4341502	0.5254777915
65	160.4168725	0.525579992
66	160.3935268	0.525718068
67	160.3764378	0.5258191266
68	160.3532333	0.5259563328
69	160.3373071	0.5260504914
70	160.3152462	0.5261809045
71	160.2894847	0.5263331707
72	160.268957	0.5264544846
73	160.2580512	0.5265189292
74	160.2502668	0.5265649257
75	160.2444946	0.5265990312
76	160.2262429	0.5267068654
77	160.2187141	0.5267513427
78	160.212311	0.5267891684
79	160.2022367	0.5268486788
80	160.1843192	0.5269545102
81	160.1701516	0.5270381838
82	160.16293	0.5270808318
83	160.1487353	0.5271646545
84	160.1293021	0.5272793999
85	160.112109	0.5273809068
86	160.0956123	0.5274782912
87	160.0880161	0.5275231305
88	160.0836322	0.5275490072
89	160.0770548	0.5275878297
90	160.0608833	0.5276832745
91	160.0503143	0.5277456473
92	160.0430681	0.5277884087
93	160.0322963	0.5278519716
94	160.0244332	0.527898368
95	160.0052486	0.5280115571
96	159.9909678	0.5280958053
97	159.9795616	0.5281630897
98	159.9667359	0.5282387417
99	159.9630156	0.528260685
100	159.9561767	0.5283010207
101	159.9457989	0.5283622252
102	159.9371014	0.5284135173
103	159.932758	0.5284391305
104	159.927089	0.5284725602
105	159.9085729	0.528581739
106	159.8978602	0.5286448997
107	159.8935269	0.5286704476
108	159.8825604	0.5287350985
109	159.8702851	0.5288074606
110	159.8567164	0.5288874404
111	159.8522647	0.5289136791
112	159.8413075	0.5289782588
113	159.832448	0.5290304719
114	159.8289751	0.5290509383
115	159.8241603	0.5290793124
116	159.8154856	0.5291304311
117	159.80864	0.5291707692
118	159.8017063	0.5292116242
119	159.794445	0.529254408
120	159.7890835	0.5292859966
121	159.7738823	0.5293755536
122	159.7706349	0.5293946838
123	159.7535683	0.5294952179
124	159.7463574	0.5295376923
125	159.7341957	0.5296093233
126	159.7319943	0.5296222889
127	159.7286972	0.5296417073
128	159.7183968	0.5297023692
129	159.7127251	0.5297357694
130	159.7080626	0.529763226
131	159.7012815	0.529803157
132	159.6948571	0.5298409858
133	159.6843572	0.5299028098
134	159.6811298	0.5299218119
135	159.6714954	0.5299785345
136	159.6650795	0.5300163064
137	159.6581327	0.5300572024
138	159.6503872	0.5301027979
139	159.6425831	0.5301487361
140	159.6376844	0.5301775713
141	159.6279803	0.5302346889
142	159.6183214	0.5302915372
143	159.6124941	0.5303258325
144	159.6055477	0.530366712
145	159.5954386	0.5304262015
146	159.5910861	0.5304518139
147	159.5841081	0.5304928744
148	159.5754929	0.530543566
149	159.5653089	0.5306034847
150	159.5613364	0.5306268562
151	159.5544906	0.5306671312
152	159.5506446	0.5306897571
153	159.5481686	0.5307043232
154	159.5425096	0.5307376134
155	159.5323687	0.5307972661
156	159.5236507	0.530848546
157	159.5193181	0.53087403
158	159.5120744	0.5309166344
159	159.507198	0.5309453143
160	159.502182	0.5309748145
161	159.4926921	0.5310306238
162	159.4838782	0.5310824548
163	159.4774227	0.5311204155
164	159.4701264	0.5311633182
165	159.4608809	0.5312176793
166	159.4524334	0.5312673463
167	159.4462006	0.53130399
168	159.4360607	0.5313636006
169	159.4289066	0.5314056567
170	159.4223629	0.5314441221
171	159.4172364	0.5314742564
172	159.4133551	0.5314970702
173	159.4082884	0.531526851
174	159.4029012	0.5315585146
175	159.3977475	0.5315888045
176	159.3921261	0.5316218426
177	159.3878258	0.5316471154
178	159.3817674	0.5316827194
179	159.3775075	0.5317077527
180	159.371884	0.5317407989
181	159.3663199	0.5317734945
182	159.3634039	0.5317906294
183	159.3573473	0.5318262168
184	159.3536025	0.5318482205
185	159.3489755	0.5318754067
186	159.3428108	0.5319116265
187	159.336533	0.5319485089
188	159.3332847	0.5319675925
189	159.3285103	0.5319956415
