iter	Passed	Remaining
0	67	134069
1	130	130683
2	189	126036
3	250	125023
4	314	125472
5	376	125188
6	438	124860
7	503	125357
8	564	124862
9	625	124434
10	691	125027
11	761	126174
12	826	126377
13	890	126297
14	953	126152
15	1016	126073
16	1093	127590
17	1157	127454
18	1222	127412
19	1284	127129
20	1352	127466
21	1415	127238
22	1477	126980
23	1536	126489
24	1599	126375
25	1662	126188
26	1738	127035
27	1814	127827
28	1879	127707
29	1939	127393
30	2004	127330
31	2069	127257
32	2130	126973
33	2189	126581
34	2249	126290
35	2306	125859
36	2367	125618
37	2431	125547
38	2493	125369
39	2548	124880
40	2608	124623
41	2668	124406
42	2728	124162
43	2781	123659
44	2841	123460
45	2905	123430
46	2960	123008
47	3011	122483
48	3069	122212
49	3130	122071
50	3191	121971
51	3250	121781
52	3306	121484
53	3373	121558
54	3434	121454
55	3491	121206
56	3548	120949
57	3605	120724
58	3669	120718
