iter	RMSE	R2
0	510.3279411	-3.802982292
1	465.1394974	-2.9900536
2	425.0095207	-2.331268275
3	389.4878652	-1.797693631
4	357.9845851	-1.363420202
5	330.2880404	-1.011861074
6	305.7794281	-0.7243634915
7	284.3833572	-0.4914910271
8	265.7541796	-0.3024843038
9	249.6602861	-0.149505938
10	235.7259954	-0.0247719935
11	223.7554467	0.0766645223
12	213.5991208	0.1585831344
13	204.9935119	0.225016381
14	197.716601	0.2790609286
15	191.6012018	0.3229686972
16	186.3909504	0.3592893592
17	182.0907929	0.38851154
18	178.4534799	0.4126968451
19	175.454673	0.4322695735
20	172.9422938	0.4484121125
21	170.9020244	0.4613499487
22	169.1988083	0.4720328631
23	167.8112651	0.480656723
24	166.6488945	0.4878264281
25	165.6963278	0.4936648722
26	164.8409398	0.4988791706
27	164.1423831	0.5031174328
28	163.6404164	0.5061518363
29	163.1667546	0.5090066139
30	162.8038647	0.5111881658
31	162.4802854	0.5131293022
32	162.2447433	0.514539878
33	162.0084994	0.5159526022
34	161.7991299	0.517202898
35	161.6381869	0.518162905
36	161.5041985	0.5189614024
37	161.4036182	0.5195603705
38	161.2816131	0.5202864252
39	161.1957969	0.5207967905
40	161.0934957	0.5214048395
41	161.0181362	0.5218525082
42	160.9647034	0.5221697955
43	160.9080915	0.5225058462
44	160.8466184	0.5228706187
45	160.7872837	0.5232225706
46	160.7543192	0.5234180476
47	160.7201804	0.5236204459
48	160.6967032	0.5237596099
49	160.6754566	0.5238855346
50	160.6323325	0.5241410711
51	160.6022273	0.5243194226
52	160.582491	0.5244363277
53	160.5582131	0.5245801139
54	160.5250113	0.5247767176
55	160.5056145	0.5248915565
56	160.4870387	0.5250015219
57	160.4699003	0.5251029662
58	160.4396623	0.5252819234
59	160.4165272	0.5254188205
60	160.4041027	0.5254923316
61	160.384061	0.5256108986
62	160.3655018	0.5257206825
63	160.3549196	0.5257832736
64	160.3393004	0.5258756506
65	160.3172869	0.5260058295
66	160.2908652	0.5261620535
67	160.2621942	0.5263315479
68	160.2499673	0.5264038206
69	160.2370392	0.5264802316
70	160.2204634	0.5265781937
71	160.1931128	0.5267398115
72	160.1708621	0.5268712737
73	160.1602793	0.5269337926
74	160.1537128	0.5269725829
75	160.1392551	0.5270579831
76	160.1255265	0.5271390691
77	160.1202691	0.5271701195
78	160.107745	0.5272440834
79	160.0998722	0.5272905748
80	160.0786971	0.5274156094
81	160.0686139	0.5274751429
82	160.0622761	0.5275125603
83	160.0495143	0.5275879004
84	160.0389298	0.527650382
85	160.0314574	0.5276944905
86	160.0160307	0.5277855444
87	160.0054288	0.5278481156
88	159.9965902	0.5279002772
89	159.9903589	0.5279370495
90	159.9739983	0.5280335908
91	159.9632156	0.5280972126
92	159.9404768	0.5282313651
93	159.9279663	0.5283051656
94	159.9208992	0.5283468522
95	159.9041403	0.5284457005
96	159.8988743	0.5284767587
97	159.8911604	0.5285222526
98	159.880559	0.5285847722
99	159.8770767	0.5286053071
100	159.8646382	0.5286786538
101	159.8438831	0.5288010283
102	159.8311265	0.5288762348
103	159.8255512	0.5289091022
104	159.8184812	0.5289507797
105	159.8045608	0.5290328341
106	159.7972236	0.5290760807
107	159.7928954	0.529101591
108	159.7866849	0.5291381935
109	159.7773948	0.5291929445
110	159.7683987	0.5292459599
111	159.7633314	0.5292758208
112	159.7586682	0.5293032994
113	159.7484954	0.5293632418
114	159.7429411	0.529395968
115	159.7352386	0.5294413506
116	159.7230946	0.5295128972
117	159.717345	0.5295467688
118	159.7095573	0.5295926457
119	159.6998874	0.5296496069
120	159.6946503	0.5296804555
121	159.6839387	0.5297435472
122	159.6792217	0.5297713291
123	159.6733584	0.5298058615
124	159.6589058	0.5298909755
125	159.6557335	0.5299096565
126	159.6521759	0.5299306063
127	159.6464619	0.5299642536
128	159.6348649	0.5300325398
129	159.6276717	0.5300748925
130	159.6184831	0.5301289914
131	159.6153209	0.5301476081
132	159.6097174	0.5301805974
133	159.6023172	0.5302241617
134	159.5978787	0.5302502902
135	159.5868824	0.5303150195
136	159.5807262	0.530351256
137	159.5716538	0.5304046549
138	159.5680748	0.5304257196
139	159.5620142	0.5304613889
140	159.548488	0.5305409919
141	159.5423995	0.5305768212
142	159.5349288	0.5306207824
143	159.5277916	0.530662779
144	159.5197574	0.5307100516
145	159.5135957	0.5307463052
146	159.5089381	0.5307737078
147	159.5033917	0.5308063391
148	159.4986266	0.5308343725
149	159.4889099	0.5308915342
150	159.4813378	0.5309360774
151	159.4710714	0.530996466
152	159.4662804	0.5310246462
153	159.4619812	0.5310499329
154	159.4515003	0.531111576
155	159.4450138	0.5311497241
156	159.4390825	0.5311846056
157	159.4317641	0.5312276427
158	159.423258	0.5312776617
159	159.4142184	0.5313308151
160	159.4090216	0.5313613713
161	159.4039901	0.5313909541
162	159.3995873	0.5314168404
163	159.3934615	0.5314528552
164	159.3877841	0.5314862329
165	159.3828649	0.5315151521
166	159.37576	0.5315569191
167	159.3688171	0.5315977319
168	159.3609837	0.5316437769
169	159.3556942	0.5316748681
170	159.3499454	0.5317086569
171	159.3423973	0.5317530199
172	159.337648	0.5317809327
173	159.3317593	0.5318155405
174	159.3240686	0.531860736
175	159.3178849	0.5318970743
176	159.3124112	0.5319292392
177	159.3091221	0.5319485661
178	159.3029283	0.5319849606
179	159.2977645	0.5320153013
180	159.2936688	0.5320393659
181	159.2887582	0.5320682171
182	159.2804081	0.5321172749
183	159.2750183	0.5321489395
184	159.2692227	0.5321829865
185	159.2655582	0.5322045135
186	159.2603413	0.5322351589
187	159.2560149	0.5322605731
188	159.2483459	0.5323056201
189	159.2431519	0.5323361278
190	159.2397159	0.5323563092
191	159.2350955	0.5323834467
192	159.2273241	0.5324290889
193	159.2226788	0.5324563707
194	159.2198995	0.5324726931
195	159.2130488	0.5325129241
196	159.2089155	0.5325371968
197	159.2051315	0.532559417
198	159.2010589	0.5325833318
199	159.1970937	0.5326066153
200	159.1915566	0.5326391281
201	159.1868665	0.5326666663
202	159.1819779	0.5326953693
203	159.1783356	0.5327167544
204	159.1746776	0.532738231
205	159.1683597	0.5327753226
206	159.1644942	0.5327980162
207	159.1589592	0.5328305102
208	159.1530011	0.5328654862
209	159.1498562	0.5328839472
210	159.1473069	0.5328989122
211	159.1431491	0.532923318
212	159.1390356	0.5329474637
213	159.1343685	0.532974858
214	159.1311165	0.5329939453
215	159.1266939	0.5330199032
216	159.1215827	0.5330499021
217	159.1173712	0.5330746191
218	159.1151294	0.5330877765
219	159.1106717	0.5331139373
220	159.1047081	0.5331489353
221	159.1017794	0.5331661221
222	159.0985291	0.5331851958
223	159.0961623	0.533199085
224	159.0927992	0.5332188201
225	159.0879632	0.5332471972
226	159.0838349	0.5332714213
227	159.0800321	0.5332937345
228	159.0769766	0.5333116628
229	159.0734858	0.5333321448
230	159.0708844	0.5333474078
231	159.0677937	0.5333655415
232	159.0642853	0.5333861254
233	159.0610907	0.533404868
234	159.0572903	0.5334271641
235	159.0537012	0.53344822
236	159.0482927	0.533479949
237	159.0452775	0.5334976373
238	159.0415234	0.5335196597
239	159.0368703	0.5335469552
240	159.0330034	0.5335696382
241	159.0297098	0.5335889574
242	159.0260898	0.5336101908
243	159.0236707	0.5336243806
244	159.0205729	0.5336425504
245	159.0152475	0.5336737855
246	159.0110076	0.5336986529
247	159.0060507	0.5337277246
248	159.0036186	0.5337419885
249	158.9975233	0.5337777347
250	158.9942212	0.5337970997
251	158.9910237	0.5338158514
252	158.9874367	0.533836886
253	158.9852498	0.5338497101
254	158.9814215	0.5338721593
255	158.9764436	0.5339013493
256	158.9736209	0.5339179008
257	158.9697283	0.533940725
258	158.9667188	0.5339583714
259	158.9646486	0.5339705094
260	158.9584895	0.5340066217
261	158.9558416	0.5340221464
262	158.9530101	0.5340387469
263	158.9505311	0.5340532813
264	158.946467	0.5340771079
265	158.9447177	0.5340873631
266	158.9420723	0.5341028717
267	158.9384873	0.5341238887
268	158.9344888	0.5341473287
269	158.9304938	0.5341707481
270	158.9254978	0.5342000347
271	158.9229759	0.5342148174
272	158.9201803	0.5342312047
273	158.9170487	0.5342495607
274	158.914298	0.534265684
275	158.9096551	0.5342928977
276	158.9068975	0.5343090607
277	158.9036089	0.5343283354
278	158.9017467	0.53433925
279	158.899134	0.5343545625
280	158.896306	0.534371137
281	158.8939558	0.5343849109
282	158.8916519	0.5343984137
283	158.8898987	0.534408688
284	158.8880679	0.5344194177
285	158.88535	0.5344353456
286	158.882409	0.5344525812
287	158.8801182	0.5344660055
288	158.8762192	0.534488854
289	158.8732989	0.5345059671
290	158.8698177	0.5345263663
291	158.8661052	0.5345481206
292	158.8635263	0.5345632324
293	158.860398	0.5345815627
294	158.8565829	0.5346039166
295	158.853303	0.5346231345
296	158.8477084	0.534655914
297	158.8455116	0.5346687851
298	158.842201	0.534688181
299	158.8401262	0.5347003369
300	158.8374733	0.5347158795
301	158.8356209	0.5347267321
302	158.8326207	0.5347443084
303	158.8298683	0.5347604331
304	158.827221	0.5347759415
305	158.8243432	0.5347928004
306	158.8218538	0.5348073838
307	158.8183391	0.5348279726
308	158.8147242	0.534849148
309	158.8126052	0.534861561
310	158.8106211	0.5348731829
311	158.8062787	0.5348986188
312	158.8038803	0.5349126672
313	158.8021545	0.5349227759
314	158.7983001	0.534945352
315	158.796254	0.5349573361
316	158.7924415	0.5349796661
317	158.7903431	0.5349919565
318	158.7881081	0.5350050461
319	158.7858163	0.535018469
320	158.7827929	0.5350361759
321	158.7787516	0.5350598441
322	158.7760362	0.5350757463
323	158.7726892	0.5350953474
324	158.7696424	0.5351131897
325	158.7668664	0.5351294461
326	158.7655063	0.5351374111
327	158.7632702	0.5351505055
328	158.761125	0.5351630673
329	158.7596481	0.5351717157
330	158.7563959	0.5351907594
331	158.7543673	0.5352026384
332	158.7518733	0.5352172417
333	158.7490257	0.535233916
334	158.7465843	0.5352482109
335	158.7434256	0.5352667061
336	158.7413875	0.5352786393
337	158.7393051	0.5352908314
338	158.7373853	0.5353020721
339	158.7343602	0.5353197834
340	158.7306072	0.5353417562
341	158.7274991	0.5353599532
342	158.7254398	0.5353720096
343	158.7236534	0.5353824676
344	158.720092	0.5354033179
345	158.7181626	0.5354146125
346	158.7166889	0.5354232399
347	158.7146066	0.5354354299
348	158.7123555	0.5354486084
349	158.7104866	0.5354595487
350	158.7075616	0.5354766715
351	158.7049726	0.5354918265
352	158.703311	0.5355015532
353	158.7004319	0.5355184062
354	158.6977653	0.5355340155
355	158.6956733	0.5355462607
356	158.692806	0.5355630443
357	158.691502	0.5355706768
358	158.6891407	0.5355844978
359	158.6868306	0.5355980191
360	158.6844783	0.5356117872
361	158.6826436	0.5356225252
362	158.6795607	0.5356405694
363	158.6767841	0.5356568201
364	158.674917	0.5356677476
365	158.6713567	0.5356885844
366	158.6697443	0.5356980207
367	158.6666725	0.5357159979
368	158.6644768	0.5357288481
369	158.6624557	0.5357406761
370	158.6597318	0.5357566164
371	158.6578456	0.5357676544
372	158.655145	0.5357834582
373	158.6522442	0.5358004335
374	158.6492585	0.5358179048
375	158.6474044	0.5358287546
376	158.6454006	0.53584048
377	158.642348	0.5358583418
378	158.6403095	0.5358702703
379	158.6376273	0.5358859643
380	158.6350861	0.5359008334
381	158.6327014	0.5359147867
382	158.6309814	0.5359248504
383	158.6285071	0.5359393273
384	158.6268833	0.5359488282
385	158.6249034	0.5359604121
386	158.6226317	0.535973703
387	158.6204515	0.535986459
388	158.618262	0.5359992687
389	158.6165523	0.5360092714
390	158.6134492	0.5360274254
391	158.6108842	0.5360424316
392	158.609099	0.5360528757
393	158.6070935	0.5360646081
394	158.6054651	0.5360741342
395	158.6025266	0.5360913248
396	158.6004664	0.5361033765
397	158.5987404	0.5361134734
398	158.5959247	0.5361299448
399	158.5936879	0.5361430292
400	158.5912976	0.5361570116
401	158.5888168	0.5361715227
402	158.5875504	0.5361789302
403	158.5851741	0.5361928302
404	158.5838359	0.5362006581
405	158.5811467	0.5362163876
406	158.5789122	0.5362294575
407	158.5774762	0.5362378565
408	158.5757916	0.5362477097
409	158.5729506	0.5362643269
410	158.5707544	0.5362771716
411	158.5693873	0.5362851679
412	158.5669886	0.5362991968
413	158.5646157	0.5363130751
414	158.5627405	0.5363240425
415	158.5612709	0.5363326368
416	158.5582362	0.536350385
417	158.5565413	0.5363602972
418	158.5546231	0.5363715157
419	158.5517666	0.5363882207
420	158.5492011	0.5364032238
421	158.5456306	0.5364241038
422	158.5445818	0.5364302372
423	158.5432091	0.5364382645
424	158.5412612	0.5364496548
425	158.5386903	0.5364646886
426	158.5360071	0.5364803791
427	158.5339589	0.5364923559
428	158.5299803	0.53651562
429	158.5282815	0.5365255531
430	158.5266694	0.5365349794
431	158.5249156	0.5365452339
432	158.5231338	0.5365556524
433	158.5217255	0.5365638871
434	158.5191852	0.5365787396
435	158.5176652	0.536587627
436	158.51591	0.5365978894
437	158.5131573	0.5366139836
438	158.511038	0.5366263741
439	158.5090866	0.536637783
440	158.507069	0.536649579
441	158.5057523	0.5366572771
442	158.5034509	0.536670732
443	158.5009171	0.5366855452
444	158.4994843	0.5366939214
445	158.4969499	0.536708738
446	158.4954157	0.536717707
447	158.4938441	0.5367268941
448	158.4917415	0.5367391858
449	158.4885485	0.5367578516
450	158.4867282	0.5367684923
451	158.4842187	0.5367831619
452	158.4829935	0.5367903241
453	158.4818626	0.5367969346
454	158.479897	0.5368084248
455	158.4780775	0.5368190603
456	158.4766391	0.5368274685
457	158.4747086	0.5368387525
458	158.47248	0.5368517791
459	158.4696104	0.5368685521
460	158.4671602	0.5368828737
461	158.4652475	0.5368940532
462	158.4622174	0.536911764
463	158.4609549	0.5369191425
464	158.4591069	0.5369299436
465	158.4567971	0.5369434438
466	158.4542544	0.5369583046
467	158.4513312	0.5369753887
468	158.4506833	0.5369791753
469	158.4488903	0.5369896546
470	158.4474061	0.5369983284
471	158.445579	0.5370090065
472	158.4442985	0.53701649
473	158.442117	0.5370292387
474	158.4402534	0.5370401297
475	158.4372761	0.5370575287
476	158.4348951	0.537071443
477	158.43353	0.5370794198
478	158.4319744	0.5370885103
479	158.429657	0.5371020527
480	158.4277291	0.5371133182
481	158.4266233	0.53711978
482	158.4249839	0.5371293596
483	158.4234917	0.5371380794
484	158.4212255	0.5371513214
485	158.4190504	0.5371640306
486	158.4174597	0.5371733255
487	158.4153741	0.5371855122
488	158.4140598	0.5371931913
489	158.411546	0.5372078797
490	158.4093939	0.5372204541
491	158.4073421	0.537232442
492	158.4058703	0.5372410416
493	158.4038624	0.5372527727
494	158.4021842	0.5372625778
495	158.4004821	0.5372725225
496	158.3990794	0.5372807179
497	158.3967182	0.5372945126
498	158.3949872	0.537304626
499	158.3931028	0.5373156353
500	158.3908974	0.5373285195
501	158.3887406	0.53734112
502	158.3864544	0.537354476
503	158.385552	0.5373597477
504	158.3835754	0.5373712949
505	158.3818452	0.5373814025
506	158.3800362	0.5373919702
507	158.3788662	0.5373988049
508	158.3780614	0.5374035064
509	158.3761823	0.5374144832
510	158.3745215	0.5374241848
511	158.3726669	0.5374350188
512	158.3715578	0.5374414976
513	158.3701623	0.5374496493
